species_latin,stadium,indetermined,autorstring,native,alien,blacklist_cat
Acari spp.,adult,TRUE,NA,FALSE,FALSE,NA
Acrotona cf. fungi,adult,FALSE,NA,TRUE,FALSE,NA
Acrotona cf. negligens,adult,FALSE,NA,TRUE,FALSE,NA
Acrotona cf. parens,adult,FALSE,NA,TRUE,FALSE,NA
Acrotona exigua,adult,FALSE,NA,TRUE,FALSE,NA
Acrotona orbata,adult,FALSE,NA,TRUE,FALSE,NA
Acrotona sp. A,adult,TRUE,NA,FALSE,FALSE,NA
Acrotona sp. B,adult,TRUE,NA,FALSE,FALSE,NA
Acrotona sp. C,adult,TRUE,NA,FALSE,FALSE,NA
Acrotrichis henrici,adult,FALSE,NA,FALSE,TRUE,NA
Acrotrichis sp.,adult,TRUE,NA,FALSE,FALSE,NA
Acupalpus brunnipes,adult,FALSE,NA,FALSE,TRUE,NA
Acupalpus meridianus,adult,FALSE,NA,TRUE,FALSE,NA
Acupalpus parvulus,adult,FALSE,NA,TRUE,FALSE,NA
Acupalpus sp.,adult,TRUE,NA,FALSE,TRUE,NA
Adalia decempunctata,adult,FALSE,NA,TRUE,FALSE,NA
Adistemia watsoni,adult,FALSE,NA,FALSE,TRUE,LO
Agathidium marginatum,adult,FALSE,NA,TRUE,FALSE,NA
Aleochara  cf. bipustulata,adult,FALSE,NA,TRUE,FALSE,NA
Aleocharinae sp. A,adult,TRUE,NA,FALSE,TRUE,NA
Aleocharinae sp. B,adult,TRUE,NA,FALSE,TRUE,NA
Aleocharinae sp. C,adult,TRUE,NA,FALSE,FALSE,NA
Aleocharinae sp. D,adult,TRUE,NA,FALSE,FALSE,NA
Aloconota gregaria,adult,FALSE,NA,TRUE,FALSE,NA
Amara aenea,adult,FALSE,NA,TRUE,FALSE,NA
Amara spreta,adult,FALSE,NA,TRUE,FALSE,NA
Amara tibialis,adult,FALSE,NA,FALSE,FALSE,NA
Amischa analis,adult,FALSE,NA,TRUE,FALSE,NA
Amischa bifoveolata,adult,FALSE,NA,TRUE,FALSE,NA
Amischa cf. forcipata,adult,FALSE,NA,FALSE,TRUE,NA
Amischa decipiens,adult,FALSE,NA,TRUE,FALSE,NA
Amischa nigrofusca,adult,FALSE,NA,TRUE,FALSE,NA
Anotylus nitidulus,adult,FALSE,NA,TRUE,FALSE,NA
Anotylus sp. B,adult,TRUE,NA,FALSE,FALSE,NA
Anthobium melanocephalum,adult,FALSE,NA,TRUE,FALSE,NA
Anthobium unicolor,adult,FALSE,NA,FALSE,FALSE,NA
Anurophorus laricis,adult,FALSE,"Nicolet, 1842",TRUE,FALSE,NA
Anurophorus satchelli,adult,FALSE," Goto, 1956",FALSE,TRUE,NA
Aphiodoidea spp. juv. and adult,nymph and adult,TRUE,NA,FALSE,FALSE,NA
Aphodius prodromus,adult,FALSE,NA,FALSE,FALSE,NA
Aranae spp.,adult,TRUE,NA,FALSE,FALSE,NA
Arrhopalites sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Atheta amicula,adult,FALSE,NA,TRUE,FALSE,NA
Atheta inquinula,adult,FALSE,NA,FALSE,TRUE,LO
Atheta (Philhygra) sp.,adult,TRUE,NA,FALSE,FALSE,NA
Atheta sordidula,adult,FALSE,NA,TRUE,FALSE,NA
Atheta sp.9 (jfr. 2012),adult,TRUE,NA,FALSE,FALSE,NA
Atheta sp. A,adult,TRUE,NA,FALSE,FALSE,NA
Atheta sp. B,adult,TRUE,NA,FALSE,FALSE,NA
Atheta (s.str.) aeneicollis,adult,FALSE,NA,TRUE,FALSE,NA
Atheta (s.str.) autumnalis,adult,FALSE,NA,TRUE,FALSE,NA
Atheta (s.str.) basicornis,adult,FALSE,NA,TRUE,FALSE,NA
Atomaria atricapilla,adult,FALSE,NA,TRUE,FALSE,NA
Atomaria fuscata,adult,FALSE,NA,TRUE,FALSE,NA
Atomaria fuscipes,adult,FALSE,NA,TRUE,FALSE,NA
Atomaria longicornis,adult,FALSE,NA,FALSE,FALSE,NA
Atomaria nigrirostris,adult,FALSE,NA,TRUE,FALSE,NA
Atomaria rhenonum,adult,FALSE,NA,TRUE,FALSE,NA
Atomaria sp.,adult,TRUE,NA,FALSE,FALSE,NA
Aucheorrhyncha spp.,adult,TRUE,NA,FALSE,FALSE,NA
Aucheorrhyncha spp. juv.,nymph,TRUE,NA,FALSE,FALSE,NA
Balclutha punctata,adult,FALSE,NA,TRUE,FALSE,NA
Ballistura schoetti,adult,FALSE,NA,FALSE,TRUE,NA
Barypeithes pellucidus,adult,FALSE,NA,TRUE,FALSE,NA
Bembidion bruxellense,adult,FALSE,NA,TRUE,FALSE,NA
Bembidion quadrimaculatum,adult,FALSE,NA,FALSE,FALSE,NA
Bembidion tetracolum,adult,FALSE,NA,FALSE,FALSE,NA
Bibloplectus sp.,adult,TRUE,NA,FALSE,FALSE,NA
Bledius gallicus,adult,FALSE,NA,TRUE,FALSE,NA
Bledius opacus,adult,FALSE,NA,TRUE,FALSE,NA
Boromorphus cf. italicus,adult,FALSE,NA,FALSE,TRUE,NR
Bourletiella sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Brachystomella parvula,adult,FALSE,"(Schäffer, 1896)",TRUE,FALSE,NA
Bythinus burelli,adult,FALSE,NA,TRUE,FALSE,NA
Campylosteira serena,adult,FALSE,NA,FALSE,TRUE,NR
Cantharis cryptica,adult,FALSE,NA,FALSE,TRUE,LO
Carpelimus corticinus,adult,FALSE,NA,TRUE,FALSE,NA
Carpelimus rivularis,adult,FALSE,NA,FALSE,FALSE,NA
Carpelimus sp.,adult,TRUE,NA,FALSE,FALSE,NA
Carpelimus subtilis,adult,FALSE,NA,FALSE,FALSE,NA
Carpelimus tetracarinatus,adult,FALSE,NA,TRUE,FALSE,NA
Carpelimus zealandicus,adult,FALSE,NA,FALSE,TRUE,PH
Carpelimus zealandicus juv.,larvae,FALSE,NA,FALSE,TRUE,PH
Cartodere bifasciata,adult,FALSE,NA,FALSE,TRUE,LO
Cartodere nodifer,adult,FALSE,NA,FALSE,TRUE,PH
Ceratophysella denticulata,adult,FALSE,"(Bagnall, 1941)",TRUE,FALSE,NA
Ceratophysella engadinensis,adult,FALSE,"(Gisin, 1949)",FALSE,TRUE,LO
Ceratophysella gibbosa,adult,FALSE,"(Bagnall, 1940)",FALSE,TRUE,LO
Ceratophysella sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Ceratophysella succinea,adult,FALSE,"Gisin, 1949",TRUE,FALSE,NA
Ceutorhynchus hirtulus,adult,FALSE,NA,TRUE,FALSE,NA
cf. Lepisma saccharina (sølvkre),adult,TRUE,NA,FALSE,FALSE,NA
Chaetocnema concinna,adult,FALSE,NA,TRUE,FALSE,NA
Chaetocnema hortensis,adult,FALSE,NA,TRUE,FALSE,NA
Chaetophora spinosa,adult,FALSE,NA,FALSE,TRUE,NR
Chilopoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Cis micans,adult,FALSE,NA,TRUE,FALSE,NA
Clambus simsoni,adult,FALSE,NA,FALSE,TRUE,LO
Clivina fossor,adult,FALSE,NA,TRUE,FALSE,NA
Coccinella undecimpunctata,adult,FALSE,NA,TRUE,FALSE,NA
Coccioidea spp. juv. and adult,nymph and adult,TRUE,NA,FALSE,FALSE,NA
Coleoptera spp. juv,larvae,TRUE,NA,FALSE,FALSE,NA
Colon sp.,adult,TRUE,NA,FALSE,FALSE,NA
Corticaria cf. lapponica,adult,FALSE,NA,FALSE,FALSE,NA
Corticarina cavicollis,adult,FALSE,NA,FALSE,TRUE,LO
Corticarina fuscula,adult,FALSE,NA,TRUE,FALSE,NA
Cortinicara gibbosa,adult,FALSE,NA,TRUE,FALSE,NA
Deraeocoris lutescens,adult,FALSE,NA,FALSE,TRUE,SE
Dermaptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Deruterosminthurus sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Desoria grisea,adult,FALSE,"(Lubbock, 1869)",TRUE,FALSE,NA
Desoria hiemalis,adult,FALSE,"(Schött, 1893)",TRUE,FALSE,NA
Desoria trispinata,adult,FALSE," (MacGillivray, 1896)",FALSE,TRUE,LO
Dicyrtoma minuta,adult,FALSE," (Fabricius, 1783)",TRUE,FALSE,NA
Dicyrtoma sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Dienerella filiformis,adult,FALSE,NA,FALSE,FALSE,NA
Dienerella vincenti,adult,FALSE,NA,FALSE,FALSE,NA
Diplocephalus cristatus,adult,FALSE,NA,TRUE,FALSE,NA
Diplopoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Diptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Diptera spp. juv.,larvae and pupae,TRUE,NA,FALSE,FALSE,NA
Dyschirius thoracicus,adult,FALSE,NA,TRUE,FALSE,NA
Dyschirius tristis,adult,FALSE,NA,TRUE,FALSE,NA
Elaphropus haemorrhoidalis,adult,FALSE,NA,FALSE,TRUE,NA
Elaphropus quadrisignatus,adult,FALSE,NA,FALSE,TRUE,NR
Elateridae spp. juv,larvae,TRUE,NA,FALSE,FALSE,NA
Embioptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Entomobrya cf. lanuginosa,adult,FALSE,"lanuginosa (Nicolet, 1841)",TRUE,FALSE,NA
Entomobrya nicoleti,adult,FALSE,"(Lubbock, 1867)",TRUE,FALSE,NA
Entomobrya nigrocincta,adult,FALSE,"Denis, 1923",FALSE,TRUE,NA
Entomobrya nigrocincta/multifasciata,adult,FALSE,NA,TRUE,FALSE,NA
Entomobrya sp.,adult,TRUE,NA,FALSE,FALSE,NA
Entomobrya sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Ephistemus globulus,adult,FALSE,NA,TRUE,FALSE,NA
Erichsonius signaticornis,adult,FALSE,NA,FALSE,TRUE,NK
Erigone atra,adult,FALSE,NA,TRUE,FALSE,NA
Erigone dentosa,adult,FALSE,NA,FALSE,TRUE,NR
Euplectus karsteni,adult,FALSE,NA,TRUE,FALSE,NA
Eupteryx decemnotata,adult,FALSE,NA,FALSE,TRUE,LO
Folsomia candida,adult,FALSE,"(Willem, 1902)",TRUE,FALSE,NA
Folsomia fimetaria,adult,FALSE,"(Linnaeus, 1758)",TRUE,FALSE,NA
Folsomia kuznetsovae,adult,FALSE,"Potapov & Taskaeva, 2009",TRUE,FALSE,NA
Folsomia litsteri,adult,FALSE,"Bagnall, 1939",TRUE,FALSE,NA
Folsomia manolachei,adult,FALSE,"Bagnall, 1939",TRUE,FALSE,NA
Folsomia quadrioculata,adult,FALSE,"(Tullberg, 1871)",TRUE,FALSE,NA
Folsomia similis,adult,FALSE,"Bagnall, 1939",FALSE,TRUE,LO
Folsomides centralis,adult,FALSE,"(Denis, 1931)",FALSE,TRUE,NA
Folsomides parvulus,adult,FALSE,"Stach, 1922",TRUE,FALSE,NA
Folsomides sp.,adult,TRUE,NA,FALSE,TRUE,NA
Folsomina onychiurina,adult,FALSE," Denis, 1931",FALSE,TRUE,NA
Formica rufa,adult,FALSE,NA,TRUE,FALSE,NA
Friesea claviseta,adult,FALSE,"Axelson, 1900",TRUE,FALSE,NA
Friesea mirabilis,adult,FALSE,"(Tullberg, 1871)",TRUE,FALSE,NA
Friesea sp. 0+0 oc,adult,TRUE,NA,FALSE,TRUE,NA
Friesea truncata,adult,FALSE,"Cassagnau, 1958",TRUE,FALSE,NA
Gabrius appendiculatus,adult,FALSE,NA,TRUE,FALSE,NA
Gabrius breviventer,adult,FALSE,NA,TRUE,FALSE,NA
Gabrius sp. (hunner),adult,TRUE,NA,FALSE,FALSE,NA
Gabronthus thermarum,adult,FALSE,NA,FALSE,TRUE,LO
Gastropoda spp.,adult,TRUE,NA,FALSE,FALSE,NA
Gnathonarium dentatum,adult,FALSE,NA,TRUE,FALSE,NA
Gongylidiellum latebricola,adult,FALSE,NA,TRUE,FALSE,NA
Gyrohypnus angustatus,adult,FALSE,NA,TRUE,FALSE,NA
Harpalus affinis,adult,FALSE,NA,TRUE,FALSE,NA
Harpalus rubripes,adult,FALSE,NA,FALSE,FALSE,NA
Harpalus tardus,adult,FALSE,NA,TRUE,FALSE,NA
Helophorus brevipalpis,adult,FALSE,NA,TRUE,FALSE,NA
Helophorus obscurus,adult,FALSE,NA,TRUE,FALSE,NA
Helophorus porculus,adult,FALSE,NA,FALSE,TRUE,LO
Hemisotoma bipunctata,adult,FALSE,NA,FALSE,FALSE,NA
Hemisotoma ponticus,adult,FALSE,"(Stach, 1947)",FALSE,TRUE,NA
Hemisotoma scapellifer,adult,FALSE,"(Gisin, 1955)",TRUE,FALSE,NA
Hemisotoma thermophila,adult,FALSE,"(Axelson, 1990)",TRUE,FALSE,NA
Heteromurus major,adult,FALSE,"Moniez, 1889",FALSE,TRUE,NA
Heteroptera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Heteroptera spp. juv,juvenile,TRUE,NA,FALSE,FALSE,NA
Heteroptera spp. juv.,nymph,TRUE,NA,FALSE,FALSE,NA
Holoparamecus niger,adult,FALSE,NA,FALSE,TRUE,NR
Hydrosmecta leptotyphloides,adult,FALSE,NA,FALSE,FALSE,NA
Hypogastrura assimilis,adult,FALSE,"Krausbauer, 1898",TRUE,FALSE,NA
Hypogastrura distincta,adult,FALSE,NA,FALSE,TRUE,NA
Hypogastrura purpurescens,adult,FALSE,"(Lubbock, 1867)",TRUE,FALSE,NA
Hypoponera cf. eduardi,adult,FALSE,NA,FALSE,TRUE,NR
Hypoponera sp.,adult,TRUE,NA,FALSE,FALSE,NA
Ischnocera spp.,adult,TRUE,NA,FALSE,FALSE,NA
Ischnosoma bergrothi,adult,FALSE,NA,FALSE,FALSE,NA
Isotoma anglicana,adult,FALSE,"Lubbock, 1862",TRUE,FALSE,NA
Isotoma caerulea,adult,FALSE,"Bourlet, 1839",TRUE,FALSE,NA
Isotoma sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Isotoma viridis,adult,FALSE,"Bourlet, 1839",TRUE,FALSE,NA
Isotomiella minor,adult,FALSE,"(Schäffer, 1896)",TRUE,FALSE,NA
Isotomodes productus,adult,FALSE,NA,FALSE,FALSE,NA
Isotomurus graminis,adult,FALSE,"Fjellberg, 2007",TRUE,FALSE,NA
Isotomurus maculatus,adult,FALSE,"(Schäffer, 1896)",TRUE,FALSE,NA
Isotomurus palustris,adult,FALSE,"(Müller, 1776)",TRUE,FALSE,NA
Isotomurus pseudopalustris,adult,FALSE,"Carapelli et al., 2001",FALSE,TRUE,NA
Isotomurus sp. juv.,juvenile,TRUE,NA,FALSE,FALSE,NA
Kleidocerys resedae,adult,FALSE,NA,TRUE,FALSE,NA
Lasius fuliginosus,adult,FALSE,NA,TRUE,FALSE,NA
Lasius niger,adult,FALSE,NA,TRUE,FALSE,NA
Lasius platythorax,adult,FALSE,NA,TRUE,FALSE,NA
