id,species_latin,species_norsk,autorstreng,native,alien
ef5c8fb8-ff11-11ea-aa56-48df374274e0,Acer palmatum,NA,NA,NA,NA
95487b5e-2200-11e8-8b3b-001cc4ddf696,Acer platanoides,Spisslønn,NA,TRUE,FALSE
95487f00-2200-11e8-8b3b-001cc4ddf696,"Aethusa cynapium ssp. cynapium
",Ugraspersille,NA,TRUE,FALSE
954880c2-2200-11e8-8b3b-001cc4ddf696,Agrostis canina,hundekvein,NA,TRUE,FALSE
9548827a-2200-11e8-8b3b-001cc4ddf696,Agrostis capillaris,engkvein,NA,TRUE,FALSE
9548843c-2200-11e8-8b3b-001cc4ddf696,Agrostis gigantea,storkvein,NA,TRUE,FALSE
e9070ec4-c0b9-11e8-90a6-001cc4ddf696,Agrostis nebulosa,NA,NA,FALSE,TRUE
954887d4-2200-11e8-8b3b-001cc4ddf696,Agrostis stolonifera,krypkvein,NA,TRUE,FALSE
ef5c8fba-ff11-11ea-aa56-48df374274e0,Allium senescens,NA,NA,NA,NA
95488996-2200-11e8-8b3b-001cc4ddf696,Alnus incana,gråor,NA,TRUE,FALSE
3d7398e4-a995-11eb-9ab7-48df374274e0,Aloe vera,NA,NA,FALSE,TRUE
954a0e9c-2200-11e8-8b3b-001cc4ddf696,Amaranthus,Amarantslekta,NA,TRUE,FALSE
95488b58-2200-11e8-8b3b-001cc4ddf696,Amaranthus blitum,blyamarant,NA,FALSE,TRUE
097cdd14-c0ba-11e8-90a6-001cc4ddf696,Amaranthus hybridus,Topparamant,NA,FALSE,TRUE
194cab0e-c176-11e8-b20c-001cc4ddf696,Amaranthus palmeri,Soyaamarant,NA,TRUE,FALSE
cffe3824-c174-11e8-b20c-001cc4ddf696,Amaranthus retroflexus,Duskamarant,NA,TRUE,FALSE
95489288-2200-11e8-8b3b-001cc4ddf696,Amaranthus viridis,smalamarant,NA,FALSE,TRUE
0273f2a2-bc08-11e8-8f34-001cc4ddf696,Anisodontea,NA,NA,TRUE,FALSE
251b9512-bcb7-11e8-b92b-001cc4ddf696,Anisodontea elegans,NA,NA,TRUE,FALSE
ef5c8fbc-ff11-11ea-aa56-48df374274e0,Antirrhinum majus,NA,NA,NA,NA
0b2abc88-bcd4-11e8-b049-001cc4ddf696,Arabidopsis thaliana,NA,NA,TRUE,FALSE
95485f48-2200-11e8-8b3b-001cc4ddf696,Arabis hirsuta ssp. hirsuta,Lønn,NA,TRUE,FALSE
0de082a4-024c-11eb-aa56-48df374274e0,Araujia sericifera,NA,NA,NA,NA
954897d8-2200-11e8-8b3b-001cc4ddf696,Argyranthemum frutescens,Margeritt,NA,TRUE,FALSE
658023e4-a98a-11eb-9ab7-48df374274e0,Asparagus falcatus,NA,NA,FALSE,TRUE
acac9aa4-a98f-11eb-9ab7-48df374274e0,Astilbe,NA,NA,FALSE,TRUE
ef5c8fbe-ff11-11ea-aa56-48df374274e0,Astrantia,NA,NA,NA,NA
b192eda6-a98b-11eb-9ab7-48df374274e0,Bergenia,NA,NA,NA,NA
95489b52-2200-11e8-8b3b-001cc4ddf696,Betula pendula,hengebjørk,NA,TRUE,FALSE
95489d0a-2200-11e8-8b3b-001cc4ddf696,Bidens pilosa,tiggerbrønsle,NA,FALSE,TRUE
8e2f992a-bcb4-11e8-b92b-001cc4ddf696,Boronia heterophylla,NA,NA,TRUE,FALSE
ef5c8fc0-ff11-11ea-aa56-48df374274e0,Bougainvillea,NA,NA,NA,NA
e127ef24-c0ba-11e8-90a6-001cc4ddf696,Buddleja davidii,NA,NA,FALSE,TRUE
9548a098-2200-11e8-8b3b-001cc4ddf696,Buxus sempervirens,Buksbom,NA,TRUE,FALSE
adbae9cc-c0b8-11e8-90a6-001cc4ddf696,Calamagrostis epigejos,NA,NA,TRUE,FALSE
9548a41c-2200-11e8-8b3b-001cc4ddf696,Calamagrostis phragmitoides,skogrørkvein,NA,TRUE,FALSE
9548a7e6-2200-11e8-8b3b-001cc4ddf696,Calluna vulgaris,Røsslyng,NA,TRUE,FALSE
ef5c8fc2-ff11-11ea-aa56-48df374274e0,Campanula persicifolia,NA,NA,NA,NA
2a395e18-a98f-11eb-9ab7-48df374274e0,Campanula portenschlagiana,NA,NA,FALSE,TRUE
9548a9a8-2200-11e8-8b3b-001cc4ddf696,Capsella bursa-pastoris,gjetertaske,NA,TRUE,FALSE
9548ab60-2200-11e8-8b3b-001cc4ddf696,Caragana arborescens,Sibirertebusk,NA,TRUE,FALSE
9548ad22-2200-11e8-8b3b-001cc4ddf696,Cardamine hirsuta,rosettkarse,NA,TRUE,FALSE
95487910-2200-11e8-8b3b-001cc4ddf696,Cardamine pratensis,Viftelønn,NA,TRUE,FALSE
1a9c6f8a-a995-11eb-9ab7-48df374274e0,Carex,NA,NA,NA,NA
9548aeee-2200-11e8-8b3b-001cc4ddf696,Carex canescens,gråstarr,NA,TRUE,FALSE
95487d34-2200-11e8-8b3b-001cc4ddf696,Carex cf. rostrata,Flaskestarr,NA,TRUE,FALSE
4c16f66a-bc04-11e8-97e0-001cc4ddf696,Carex rostrata,Flaskestarr,NA,TRUE,FALSE
0de082a6-024c-11eb-aa56-48df374274e0,Carex spicata,NA,NA,NA,NA
9548b0b0-2200-11e8-8b3b-001cc4ddf696,Carpinus betulus,Agnbøk,NA,TRUE,FALSE
9548b434-2200-11e8-8b3b-001cc4ddf696,Cerastium fontanum,arve,NA,TRUE,FALSE
b6e34494-bc04-11e8-97e0-001cc4ddf696,Cerastium fontanum ssp. vulgare,NA,NA,TRUE,FALSE
9548b5f6-2200-11e8-8b3b-001cc4ddf696,Cerastium glomeratum,veiarve,NA,TRUE,FALSE
9548b7c2-2200-11e8-8b3b-001cc4ddf696,Cercidiphyllum japonicum,Hjertetre,NA,TRUE,FALSE
9548b984-2200-11e8-8b3b-001cc4ddf696,Chaenorhinum minus,småtorskemunn,NA,FALSE,TRUE
f0f1e5f6-bc08-11e8-8f34-001cc4ddf696,Chamaecyparis lawsonia,NA,NA,TRUE,FALSE
9548bd30-2200-11e8-8b3b-001cc4ddf696,Chamaecyparis lawsoniana,Lawsonsypress,NA,TRUE,FALSE
5ab49144-a98e-11eb-9ab7-48df374274e0,Chamaerops humilis,NA,NA,FALSE,TRUE
ef5c8fc4-ff11-11ea-aa56-48df374274e0,Chamasyparis,NA,NA,NA,NA
9548c28a-2200-11e8-8b3b-001cc4ddf696,Chenopodiastrum murale,gatemelde,NA,FALSE,TRUE
9548c44c-2200-11e8-8b3b-001cc4ddf696,Chenopodium album,meldestokk,NA,TRUE,FALSE
e1b3f238-c16b-11e8-b20c-001cc4ddf696,Chenopodium botrys,NA,NA,TRUE,FALSE
9548c618-2200-11e8-8b3b-001cc4ddf696,Chenopodium ficifolium,fikenmelde,NA,FALSE,TRUE
95488608-2200-11e8-8b3b-001cc4ddf696,Chenopodium glaucum,NA,NA,TRUE,FALSE
9548c7e4-2200-11e8-8b3b-001cc4ddf696,Chenopodium hircinum,bukkemelde,NA,FALSE,TRUE
22b617b2-bcd4-11e8-b049-001cc4ddf696,Cirsium arvense,NA,NA,TRUE,FALSE
9548cd34-2200-11e8-8b3b-001cc4ddf696,Cirsium vulgare,veitistel,NA,TRUE,FALSE
ef5c8fc6-ff11-11ea-aa56-48df374274e0,Citrus,NA,NA,NA,NA
32ffdd44-a988-11eb-9ab7-48df374274e0,Citrus calamondin,NA,NA,FALSE,TRUE
9548d0ae-2200-11e8-8b3b-001cc4ddf696,Claytonia perfoliata,vinterportulakk,NA,FALSE,TRUE
9548d270-2200-11e8-8b3b-001cc4ddf696,Claytonia sibirica,sibirportulakk,NA,FALSE,TRUE
ef5c8fc8-ff11-11ea-aa56-48df374274e0,Clematis,NA,NA,NA,NA
9548d626-2200-11e8-8b3b-001cc4ddf696,Clematis tangutica,gullklematis,NA,FALSE,TRUE
9548d7e8-2200-11e8-8b3b-001cc4ddf696,Conyza canadensis,hestehamp,NA,FALSE,TRUE
752f6644-c173-11e8-b20c-001cc4ddf696,Conyza sumatrensis,NA,NA,TRUE,FALSE
a31b1e54-bcb4-11e8-b92b-001cc4ddf696,Cordyline,NA,NA,TRUE,FALSE
9548dd24-2200-11e8-8b3b-001cc4ddf696,Corylus avellana,Vrihassel,NA,TRUE,FALSE
ef5c8fca-ff11-11ea-aa56-48df374274e0,Cosmos bipinnatus,NA,NA,NA,NA
9548dee6-2200-11e8-8b3b-001cc4ddf696,Crepis tectorum,takhaukeskjegg,NA,TRUE,FALSE
df5a146c-c0b8-11e8-90a6-001cc4ddf696,Cruciata cf. laevipes,NA,NA,FALSE,TRUE
ace9796c-bcb4-11e8-b92b-001cc4ddf696,Cuphea hyssopifolia,NA,NA,TRUE,FALSE
9548e260-2200-11e8-8b3b-001cc4ddf696,Cystopteris fragilis,skjørlok,NA,TRUE,FALSE
9548e5e4-2200-11e8-8b3b-001cc4ddf696,Cytisus scoparius,gyvel,NA,TRUE,FALSE
bac9c1c4-a995-11eb-9ab7-48df374274e0,Dahlia,NA,NA,NA,TRUE
9548e7a6-2200-11e8-8b3b-001cc4ddf696,Daucus carota ssp. carota,villgulrot,NA,FALSE,TRUE
697d03e8-bc09-11e8-8f34-001cc4ddf696,Delphinium,NA,NA,TRUE,FALSE
9548e968-2200-11e8-8b3b-001cc4ddf696,Deschampsia cespitosa ssp. cespitosa,sølvbunke,NA,TRUE,FALSE
ef5c8fcc-ff11-11ea-aa56-48df374274e0,Deschamsia cespitosa,NA,NA,NA,NA
9548eb2a-2200-11e8-8b3b-001cc4ddf696,Digitaria ischaemum,fingerhirse,NA,FALSE,TRUE
9548ed1e-2200-11e8-8b3b-001cc4ddf696,Digitaria sanguinalis,blodhirse,NA,FALSE,TRUE
d15b0810-a98d-11eb-9ab7-48df374274e0,Dipladenia sundaville,NA,NA,FALSE,TRUE
08fbbcec-c0bb-11e8-90a6-001cc4ddf696,Dittrichia viscosa,NA,NA,FALSE,TRUE
9548f8e0-2200-11e8-8b3b-001cc4ddf696,Draba muralis,murrublom,NA,TRUE,FALSE
9548faac-2200-11e8-8b3b-001cc4ddf696,Draba verna,vårrublom,NA,TRUE,FALSE
d735729a-a98b-11eb-9ab7-48df374274e0,Dracena marginata,NA,NA,FALSE,TRUE
9548fc78-2200-11e8-8b3b-001cc4ddf696,Drymocallis rupestris,hvitmure,NA,TRUE,FALSE
ef5c8fce-ff11-11ea-aa56-48df374274e0,Dypsis,NA,NA,NA,NA
baade07c-c16b-11e8-b20c-001cc4ddf696,Dysphania ambrosioides,NA,NA,FALSE,TRUE
d390a2d0-bc04-11e8-97e0-001cc4ddf696,Echinochloa,NA,NA,TRUE,FALSE
9548fe44-2200-11e8-8b3b-001cc4ddf696,Echinochloa crus-galli,hønsehirse,NA,FALSE,TRUE
cff46648-c0b9-11e8-90a6-001cc4ddf696,Eclipta prostrata,NA,NA,FALSE,TRUE
954901dc-2200-11e8-8b3b-001cc4ddf696,Eleusine africana,afrikahirse,NA,FALSE,TRUE
0de082a8-024c-11eb-aa56-48df374274e0,Empetrum nigrum,NA,NA,NA,NA
4e6ac21a-bc05-11e8-97e0-001cc4ddf696,Epilobium ciliatum ssp. ciliatum,NA,NA,TRUE,FALSE
95490574-2200-11e8-8b3b-001cc4ddf696,Epilobium hirsutum,stormjølke,NA,FALSE,TRUE
95488d4c-2200-11e8-8b3b-001cc4ddf696,Epilobium lanceolatum,toppamarant,NA,TRUE,FALSE
2a79d1b4-c16b-11e8-b20c-001cc4ddf696,Epilobium montanum,NA,NA,TRUE,FALSE
95490740-2200-11e8-8b3b-001cc4ddf696,Epilobium obscurum,mørkmjølke,NA,FALSE,TRUE
95488f04-2200-11e8-8b3b-001cc4ddf696,Epilobium parviflorum,soyaamarant,NA,TRUE,FALSE
95490916-2200-11e8-8b3b-001cc4ddf696,Epilobium roseum,greinmjølke,NA,FALSE,TRUE
f4e3a1fa-c175-11e8-b20c-001cc4ddf696,Eragrostis elliottii,NA,NA,TRUE,FALSE
954890c6-2200-11e8-8b3b-001cc4ddf696,"Erica ciliaris f. albiflora ""Stoborough""",NA,NA,FALSE,TRUE
95490cd6-2200-11e8-8b3b-001cc4ddf696,Erica gracilis,Høstlyng,NA,TRUE,FALSE
4b7b6312-e5b2-11e8-9f85-001cc4ddf696,Eriophorum vaginatum,NA,NA,TRUE,FALSE
95490e98-2200-11e8-8b3b-001cc4ddf696,Erysimum cheiranthoides,åkergull,NA,TRUE,FALSE
95491064-2200-11e8-8b3b-001cc4ddf696,Eucalyptus,Eukalyptus,NA,TRUE,FALSE
5049a0fc-bc09-11e8-8f34-001cc4ddf696,Eucalyptus gunnii,NA,NA,TRUE,FALSE
95491226-2200-11e8-8b3b-001cc4ddf696,Euonymus fortunei,Klatrebeinved,NA,TRUE,FALSE
09d0b892-c0bc-11e8-90a6-001cc4ddf696,Euphorbia,NA,NA,TRUE,FALSE
61f71d74-bc05-11e8-97e0-001cc4ddf696,Euphorbia cf. chamaesyce,NA,NA,TRUE,FALSE
9549144c-2200-11e8-8b3b-001cc4ddf696,Euphorbia chamaesyce,dvergvortemelk,NA,FALSE,TRUE
793e7a14-e5b2-11e8-9f85-001cc4ddf696,Euphorbia langbladet med tenner,NA,NA,TRUE,FALSE
95491618-2200-11e8-8b3b-001cc4ddf696,Euphorbia maculata,NA,NA,FALSE,TRUE
954917da-2200-11e8-8b3b-001cc4ddf696,Euphorbia peplus,byvortemelk,NA,FALSE,TRUE
954919b0-2200-11e8-8b3b-001cc4ddf696,Euphorbia prostrata,NA,NA,FALSE,TRUE
95491b86-2200-11e8-8b3b-001cc4ddf696,Euphorbia serpens,NA,NA,FALSE,TRUE
95491f28-2200-11e8-8b3b-001cc4ddf696,Fagus sylvaticus,Bøk,NA,TRUE,FALSE
954920e0-2200-11e8-8b3b-001cc4ddf696,Fallopia convolvolus,vindelslirekne,NA,TRUE,FALSE
954922a2-2200-11e8-8b3b-001cc4ddf696,Fargesia,Paraplybambus,NA,TRUE,FALSE
ef5c8fd0-ff11-11ea-aa56-48df374274e0,Fargesia murielae,NA,NA,NA,NA
753c4736-a994-11eb-9ab7-48df374274e0,Fargesia rufa,NA,NA,FALSE,TRUE
9549246e-2200-11e8-8b3b-001cc4ddf696,Felicia amelloides,NA,NA,TRUE,FALSE
95492662-2200-11e8-8b3b-001cc4ddf696,Festuca glauca,Sausesvingel,NA,TRUE,FALSE
95492838-2200-11e8-8b3b-001cc4ddf696,Festuca rubra,rødsvingel,NA,TRUE,FALSE
0de082aa-024c-11eb-aa56-48df374274e0,Festuca rubra ssp. rubra,NA,NA,NA,NA
0de082ac-024c-11eb-aa56-48df374274e0,Festuca trachyphylla,NA,NA,NA,NA
88f8be00-a992-11eb-9ab7-48df374274e0,Ficus,NA,NA,FALSE,TRUE
011586b4-a995-11eb-9ab7-48df374274e0,Ficus benjamina,NA,NA,FALSE,TRUE
95492a04-2200-11e8-8b3b-001cc4ddf696,Ficus carina,NA,NA,TRUE,FALSE
f83a6f7e-a98e-11eb-9ab7-48df374274e0,Ficus lyrata,NA,NA,FALSE,TRUE
95489616-2200-11e8-8b3b-001cc4ddf696,Filaginella uliginosa,Apeskrekk,NA,TRUE,FALSE
15212dac-bc08-11e8-8f34-001cc4ddf696,Fuchsia,NA,NA,TRUE,FALSE
148f05da-c16c-11e8-b20c-001cc4ddf696,Galinsoga ciliata,NA,NA,TRUE,FALSE
95492bc6-2200-11e8-8b3b-001cc4ddf696,Galinsoga parviflora,peruskjellfrø,NA,FALSE,TRUE
95492d92-2200-11e8-8b3b-001cc4ddf696,Galinsoga quadriradiata,nesleskjellfrø,NA,FALSE,TRUE
95489990-2200-11e8-8b3b-001cc4ddf696,Galium,Spirblom,NA,TRUE,FALSE
95492f5e-2200-11e8-8b3b-001cc4ddf696,Gamochaeta pensylvanica,NA,NA,FALSE,TRUE
e9cf5766-a992-11eb-9ab7-48df374274e0,Geranium cinereum,NA,NA,FALSE,TRUE
95493120-2200-11e8-8b3b-001cc4ddf696,Geranium pusillum,småstorkenebb,NA,TRUE,FALSE
ef5c8fd2-ff11-11ea-aa56-48df374274e0,Geranium wallichianum,NA,NA,NA,NA
35d0d9d2-c16a-11e8-b20c-001cc4ddf696,Glyceria fluitans,NA,NA,TRUE,FALSE
954932ec-2200-11e8-8b3b-001cc4ddf696,Gnaphalium uliginosum,åkergråurt,NA,TRUE,FALSE
ee5b27a8-e5b1-11e8-9f85-001cc4ddf696,Gras - hårete,NA,NA,TRUE,FALSE
f610d966-e5b1-11e8-9f85-001cc4ddf696,Hårete lite gras 2 priklet,NA,NA,TRUE,FALSE
b43777be-bcb4-11e8-b92b-001cc4ddf696,Hebe,NA,NA,TRUE,FALSE
954934ae-2200-11e8-8b3b-001cc4ddf696,Hebe andersonii,NA,NA,TRUE,FALSE
95493670-2200-11e8-8b3b-001cc4ddf696,Hedemix,NA,NA,TRUE,FALSE
ba9f8e70-bcb4-11e8-b92b-001cc4ddf696,Hedera,NA,NA,TRUE,FALSE
95493832-2200-11e8-8b3b-001cc4ddf696,Hedera helix,Bergflette,NA,TRUE,FALSE
0a361d0a-a98e-11eb-9ab7-48df374274e0,Hedera hibernica,NA,NA,FALSE,TRUE
b707d6f2-bc08-11e8-8f34-001cc4ddf696,Helichrysum,NA,NA,TRUE,FALSE
954939f4-2200-11e8-8b3b-001cc4ddf696,Helicrisium,Stråblomslekta,NA,TRUE,FALSE
95493bb6-2200-11e8-8b3b-001cc4ddf696,Helleborus,Julerose,NA,TRUE,FALSE
ef5c8fd4-ff11-11ea-aa56-48df374274e0,Hemerocallis,NA,NA,NA,NA
95493da0-2200-11e8-8b3b-001cc4ddf696,Holcus lanatus,englodnegras,NA,TRUE,FALSE
ef5c8fd6-ff11-11ea-aa56-48df374274e0,Hosta,NA,NA,NA,NA
92866378-bc05-11e8-97e0-001cc4ddf696,Howea sp.,NA,NA,FALSE,TRUE
95489ecc-2200-11e8-8b3b-001cc4ddf696,Humulus sp.,NA,NA,FALSE,TRUE
95493f62-2200-11e8-8b3b-001cc4ddf696,Hydrangea,Hortensia,NA,TRUE,FALSE
95494124-2200-11e8-8b3b-001cc4ddf696,Hydrangea anomala,Klatrehortensia,NA,TRUE,FALSE
c4d506f4-bcb4-11e8-b92b-001cc4ddf696,Hydrangea macrophylla,NA,NA,TRUE,FALSE
954942f0-2200-11e8-8b3b-001cc4ddf696,Hydrangea paniculata,Syrinhortensia,NA,TRUE,FALSE
954a0cda-2200-11e8-8b3b-001cc4ddf696,Ilex,Kristtornslekta,NA,TRUE,FALSE
ef5c8fd8-ff11-11ea-aa56-48df374274e0,Ilex crenata,NA,NA,NA,NA
2b9b95b8-a990-11eb-9ab7-48df374274e0,Imperata,NA,NA,FALSE,TRUE
c488d42e-bc04-11e8-97e0-001cc4ddf696,Juncus articulatus,NA,NA,TRUE,FALSE
954944bc-2200-11e8-8b3b-001cc4ddf696,Juncus bufonius,paddesiv,NA,TRUE,FALSE
9549467e-2200-11e8-8b3b-001cc4ddf696,Juncus bulbosus,sumpsiv,NA,TRUE,FALSE
95494840-2200-11e8-8b3b-001cc4ddf696,Juncus compressus,flatsiv,NA,TRUE,FALSE
95494a02-2200-11e8-8b3b-001cc4ddf696,Juncus conglomeratus,knappsiv,NA,TRUE,FALSE
e3f1083c-e5b1-11e8-9f85-001cc4ddf696,Juncus effusus,NA,NA,TRUE,FALSE
95494bc4-2200-11e8-8b3b-001cc4ddf696,Juncus filiformis,trådsiv,NA,TRUE,FALSE
95494d90-2200-11e8-8b3b-001cc4ddf696,Juniperus,Einer,NA,TRUE,FALSE
95494f48-2200-11e8-8b3b-001cc4ddf696,Juniperus chinensis,Kinaeiner,NA,TRUE,FALSE
9549510a-2200-11e8-8b3b-001cc4ddf696,Juniperus/Picea,Einer/Gran,NA,TRUE,FALSE
58beab10-bc09-11e8-8f34-001cc4ddf696,Juniperus procumbens,NA,NA,TRUE,FALSE
d4a5e6d4-bcb4-11e8-b92b-001cc4ddf696,Juniperus squamata,NA,NA,TRUE,FALSE
f0048e6a-a98f-11eb-9ab7-48df374274e0,Juniperus x pfitzeriana,NA,NA,FALSE,TRUE
9db3a5e6-e5b1-11e8-9f85-001cc4ddf696,Lactuca muralis,NA,NA,TRUE,FALSE
