species_latin,container,subsample,amount
Diptera spp.,72,3,1
Oligochaeta spp.,72,4,61
Acari spp.,72,4,1200
Aranae spp.,72,4,1
Diptera spp. juv.,72,4,9
Oligochaeta spp.,72,5,50
Acari spp.,72,5,300
Diptera spp. juv.,72,5,2
Diptera spp.,72,5,1
Chilopoda spp.,72,5,2
Oligochaeta spp.,72,6,67
Acari spp.,72,6,480
Diptera spp. juv.,72,6,14
Chilopoda spp.,72,6,1
Oligochaeta spp.,72,7,1
Acari spp.,72,7,1312
Aranae spp.,72,7,1
Diptera spp. juv.,72,7,5
Parasitica spp.,72,7,1
Acari spp.,72,8,12480
Diptera spp. juv.,72,8,1
Diptera spp.,72,8,1
Thysanoptera spp.,72,8,3
Oligochaeta spp.,72,9,60
Acari spp.,72,9,1792
Diptera spp. juv.,72,9,12
Diptera spp.,72,9,1
Oligochaeta spp.,72,10,5
Acari spp.,72,10,300
Diptera spp. juv.,72,10,2
Aphiodoidea spp. juv. and adult,72,10,1
Lepidoptera spp. juv.,72,10,1
Chilopoda spp.,72,10,6
Diplopoda spp.,72,10,1
Oxidus gracilus,72,10,3
Gastropoda spp.,72,10,1
Oligochaeta spp.,73,1,1
Acari spp.,73,1,216
Aranae spp.,73,1,4
Diptera spp. juv.,73,1,15
Diptera spp.,73,1,6
Heteroptera spp. juv,73,1,3
Parasitica spp.,73,1,2
Acari spp.,73,2,50
Diptera spp.,73,2,1
Parasitica spp.,73,2,1
Acari spp.,73,3,24
Diptera spp.,73,3,3
Oligochaeta spp.,73,4,2
Acari spp.,73,4,512
Aranae spp.,73,4,2
Diptera spp. juv.,73,4,57
Parasitica spp.,73,4,3
Gastropoda spp.,73,4,1
Acari spp.,73,5,832
Aranae spp.,73,5,1
Diptera spp. juv.,73,5,51
Diptera spp.,73,5,1
Parasitica spp.,73,5,5
Neuroptera spp.,73,5,1
Oligochaeta spp.,73,6,5
Acari spp.,73,6,2080
Aranae spp.,73,6,1
Diptera spp. juv.,73,6,162
Diptera spp.,73,6,4
Oligochaeta spp.,73,7,1
Acari spp.,73,7,2060
Aranae spp.,73,7,8
Diptera spp. juv.,73,7,126
Diptera spp.,73,7,2
Aphiodoidea spp. juv. and adult,73,7,3
Oligochaeta spp.,73,8,2
Acari spp.,73,8,7520
Aranae spp.,73,8,1
Diptera spp. juv.,73,8,35
Diptera spp.,73,8,3
Aphiodoidea spp. juv. and adult,73,8,4
Parasitica spp.,73,8,4
Acari spp.,73,9,328
Aranae spp.,73,9,2
Diptera spp. juv.,73,9,32
Parasitica spp.,73,9,7
Thysanoptera spp. juv.,73,9,1
Acari spp.,73,10,48
Aranae spp.,73,10,1
Diptera spp. juv.,73,10,1
Diptera spp.,73,10,1
Diptera spp.,74,1,1
Oligochaeta spp.,74,2,1
Diptera spp. juv.,74,2,1
Diptera spp.,74,2,1
Oligochaeta spp.,74,3,2
Diptera spp.,74,3,3
Gastropoda spp.,74,5,1
Diptera spp.,74,6,1
Oligochaeta spp.,74,7,4
Diptera spp. juv.,74,7,1
Oligochaeta spp.,74,9,1
Oligochaeta spp.,74,10,1
Diptera spp. juv.,74,10,1
Oligochaeta spp.,75,1,60
Oligochaeta spp.,75,2,10
Diptera spp. juv.,75,2,79
Aranae spp.,75,3,1
Diptera spp. juv.,75,3,1
Diptera spp.,75,3,2
Diptera spp. juv.,75,4,25
Diplopoda spp.,75,4,1
Oligochaeta spp.,75,5,4
Aranae spp.,75,5,1
Diptera spp. juv.,75,5,5
Diptera spp.,75,5,2
Oligochaeta spp.,75,6,4
Diptera spp. juv.,75,6,11
Gastropoda spp.,75,6,1
Oligochaeta spp.,75,7,19
Diptera spp. juv.,75,7,8
Oligochaeta spp.,75,8,3
Oligochaeta spp.,75,9,8
Oniscidea spp.,75,9,1
Diptera spp. juv.,75,9,26
Oligochaeta spp.,75,10,6
Diptera spp. juv.,76,1,1
Oligochaeta spp.,76,2,1
Oligochaeta spp.,76,3,10
Aranae spp.,76,3,1
Diptera spp. juv.,76,3,2
Oligochaeta spp.,76,4,18
Aranae spp.,76,4,5
Diptera spp. juv.,76,4,3
Gastropoda spp.,76,4,1
Diptera spp. juv.,76,5,1
Diptera spp.,76,5,1
Lepidoptera spp.,76,5,1
Oligochaeta spp.,76,6,5
Diptera spp. juv.,76,6,2
Diptera spp.,76,6,2
Diptera spp. juv.,76,7,1
Oligochaeta spp.,76,8,8
Aranae spp.,76,8,1
Diptera spp.,76,9,1
Aranae spp.,76,10,1
Diptera spp.,76,10,1
Oligochaeta spp.,77,1,13
Diptera spp. juv.,77,1,3
Chilopoda spp.,77,1,1
Oligochaeta spp.,77,2,53
Diptera spp.,77,2,1
Lepidoptera spp.,77,2,1
Oligochaeta spp.,77,3,48
Lepidoptera spp.,77,3,1
Oligochaeta spp.,77,4,44
Aranae spp.,77,4,3
Diptera spp.,77,4,1
Aphiodoidea spp. juv. and adult,77,4,1
Oligochaeta spp.,77,5,152
Diptera spp. juv.,77,5,2
Oligochaeta spp.,77,6,41
Oligochaeta spp.,77,7,27
Aranae spp.,77,7,1
Diptera spp. juv.,77,7,6
Nematoda spp.,77,7,3
Oligochaeta spp.,77,8,23
Aphiodoidea spp. juv. and adult,77,8,1
Oligochaeta spp.,77,9,3
Oligochaeta spp.,77,10,56
Diptera spp. juv.,77,10,1
Oligochaeta spp.,78,1,9
Diptera spp. juv.,78,1,3
Oligochaeta spp.,78,2,45
Diptera spp. juv.,78,2,124
Parasitica spp.,78,2,1
Oligochaeta spp.,78,3,6
Oligochaeta spp.,78,4,6
Diptera spp. juv.,78,4,183
Diptera spp.,78,4,2
Parasitica spp.,78,4,2
Oligochaeta spp.,78,5,2
Diptera spp. juv.,78,5,2
Diptera spp.,78,5,3
Oligochaeta spp.,78,6,16
Oligochaeta spp.,78,7,2
Diptera spp. juv.,78,7,23
Nematoda spp.,78,7,1
Oligochaeta spp.,78,8,16
Aranae spp.,78,8,1
Diptera spp. juv.,78,8,9
Lepidoptera spp.,78,9,1
Chilopoda spp.,78,9,1
Diplopoda spp.,78,9,11
Aranae spp.,79,2,1
Diptera spp. juv.,79,2,1
Diptera spp. juv.,79,3,3
Diptera spp.,79,3,9
Aphiodoidea spp. juv. and adult,79,3,1
Oligochaeta spp.,79,4,1
Diptera spp. juv.,79,4,2
Diptera spp.,79,4,2
Parasitica spp.,79,4,1
Chilopoda spp.,79,4,4
Thysanoptera spp. juv.,79,5,1
Oniscidea spp.,79,6,1
Diptera spp. juv.,79,8,2
Aphiodoidea spp. juv. and adult,79,8,19
Oligochaeta spp.,79,9,2
Aranae spp.,79,9,1
Diptera spp. juv.,79,9,10
Aphiodoidea spp. juv. and adult,79,9,2
Diptera spp. juv.,79,10,1
Diptera spp.,79,10,1
Oligochaeta spp.,80,1,14
Aranae spp.,80,1,1
Diptera spp. juv.,80,1,71
Oligochaeta spp.,80,2,4
Diptera spp. juv.,80,2,1
Diplopoda spp.,80,2,1
Nematoda spp.,80,2,2
Oligochaeta spp.,80,3,8
Diptera spp. juv.,80,3,37
Oligochaeta spp.,80,4,9
Aranae spp.,80,4,1
Diptera spp. juv.,80,4,71
Oligochaeta spp.,80,5,59
Diptera spp. juv.,80,5,5
Parasitica spp.,80,5,1
Oligochaeta spp.,80,6,62
Aranae spp.,80,6,3
Diptera spp. juv.,80,6,206
Diptera spp.,80,6,1
Oligochaeta spp.,80,7,3
Diptera spp. juv.,80,7,24
Diptera spp.,80,7,1
Oligochaeta spp.,80,8,17
Diptera spp. juv.,80,8,2
Parasitica spp.,80,8,3
Lepidoptera spp. juv.,80,8,1
Oligochaeta spp.,80,9,71
Aranae spp.,80,9,2
Diptera spp. juv.,80,9,47
Oligochaeta spp.,80,10,7
Oligochaeta spp.,81,1,16
Aranae spp.,81,1,1
Aphiodoidea spp. juv. and adult,81,1,1
Chilopoda spp.,81,1,1
Diplopoda spp.,81,1,5
Oligochaeta spp.,81,2,10
Diptera spp. juv.,81,2,3
Chilopoda spp.,81,2,1
Nematoda spp.,81,2,2
Oligochaeta spp.,81,3,3
Oligochaeta spp.,81,4,4
Diptera spp. juv.,81,4,205
Diptera spp.,81,4,2
Nematoda spp.,81,4,2
Diptera spp. juv.,81,5,2
Diptera spp.,81,5,2
Oligochaeta spp.,81,6,16
Diptera spp. juv.,81,6,4
Parasitica spp.,81,6,1
Oligochaeta spp.,81,7,2
Aranae spp.,81,7,1
Diptera spp. juv.,81,7,7
Oligochaeta spp.,81,8,8
Aranae spp.,81,8,5
Diptera spp. juv.,81,8,16
Diptera spp.,81,8,1
Oligochaeta spp.,81,9,27
Diptera spp. juv.,81,9,4
Lepidoptera spp.,81,9,1
Chilopoda spp.,81,9,2
Nematoda spp.,81,9,6
Aranae spp.,81,10,1
Diptera spp. juv.,81,10,1
Diptera spp.,81,10,1
Chilopoda spp.,81,10,1
Oligochaeta spp.,82,1,53
Diptera spp. juv.,82,1,19
Chilopoda spp.,82,1,3
Nematoda spp.,82,1,1
Oligochaeta spp.,82,2,10
Oligochaeta spp.,82,3,1
Diptera spp. juv.,82,3,2
Oligochaeta spp.,82,4,37
Diptera spp. juv.,82,4,16
Oligochaeta spp.,82,5,27
Diptera spp. juv.,82,5,3
Nematoda spp.,82,5,1
Oligochaeta spp.,82,6,10
Oligochaeta spp.,82,7,45
Diptera spp. juv.,82,7,7
Oligochaeta spp.,82,8,6
Diptera spp. juv.,82,8,3
Oligochaeta spp.,82,9,1
Oligochaeta spp.,82,10,33
Diptera spp. juv.,82,10,8
Lasius niger,82,10,1
Nematoda spp.,82,10,1
Diptera spp.,83,1,1
Oligochaeta spp.,83,2,1
Diptera spp. juv.,83,2,3
Chilopoda spp.,83,2,4
Oligochaeta spp.,83,3,2
Aranae spp.,83,3,1
Diptera spp. juv.,83,3,1
Parasitica spp.,83,3,1
Oligochaeta spp.,83,4,6
Diptera spp. juv.,83,4,5
Parasitica spp.,83,4,17
Oligochaeta spp.,83,5,4
Oligochaeta spp.,83,6,7
Aphiodoidea spp. juv. and adult,83,6,4
Diptera spp.,83,7,1
Oligochaeta spp.,83,9,36
Diptera spp. juv.,83,9,7
Chilopoda spp.,83,9,2
Oligochaeta spp.,83,10,9
Aranae spp.,83,10,1
Diptera spp. juv.,83,10,47
Chilopoda spp.,83,10,5
Oligochaeta spp.,84,1,5
Diptera spp. juv.,84,1,2
Aphiodoidea spp. juv. and adult,84,1,1
Parasitica spp.,84,1,1
Chilopoda spp.,84,1,3
Diptera spp. juv.,84,2,18
Oligochaeta spp.,84,4,1
Oligochaeta spp.,84,5,94
Diptera spp. juv.,84,5,57
Diptera spp.,84,5,3
Thysanoptera spp.,84,7,1
Thysanoptera spp. juv.,84,7,2
Oligochaeta spp.,84,8,3
Oniscidea spp.,84,8,1
Diptera spp. juv.,84,8,2
Chilopoda spp.,84,8,1
Diplopoda spp.,84,8,3
Nematoda spp.,84,8,1
Oligochaeta spp.,84,9,28
Aranae spp.,84,9,1
Diptera spp. juv.,84,9,87
Diptera spp.,84,9,1
Thysanoptera spp. juv.,84,9,2
Chilopoda spp.,84,9,10
Nematoda spp.,84,9,1
Oligochaeta spp.,84,10,12
Diptera spp. juv.,84,10,42
Diptera spp.,84,10,1
Chilopoda spp.,84,10,1
Oligochaeta spp.,85,1,15
Diptera spp. juv.,85,1,1
Chilopoda spp.,85,1,2
Oligochaeta spp.,85,2,9
Oniscidea spp.,85,2,4
Diptera spp. juv.,85,2,2
Diptera spp.,85,2,1
Lasius niger,85,2,3
Chilopoda spp.,85,2,4
Diplopoda spp.,85,2,1
Nematoda spp.,85,2,1
Oligochaeta spp.,85,3,4
Aranae spp.,85,3,1
Diptera spp. juv.,85,3,48
Chilopoda spp.,85,3,2
Nematoda spp.,85,3,48
Oligochaeta spp.,85,4,37
Diptera spp. juv.,85,4,6
Diptera spp.,85,4,1
Heteroptera spp.,85,4,1
Oligochaeta spp.,85,5,84
Aranae spp.,85,5,2
Oniscidea spp.,85,5,1
Diptera spp. juv.,85,5,15
Diptera spp.,85,5,1
Aphiodoidea spp. juv. and adult,85,5,1
Chilopoda spp.,85,5,5
Nematoda spp.,85,5,7
Oligochaeta spp.,85,6,19
Aranae spp.,85,6,1
Oniscidea spp.,85,6,2
Diptera spp. juv.,85,6,7
Diptera spp.,85,6,1
Aphiodoidea spp. juv. and adult,85,6,2
Gastropoda spp.,85,6,2
Nematoda spp.,85,6,1
Oligochaeta spp.,85,7,7
Diptera spp. juv.,85,7,7
Oligochaeta spp.,85,8,13
Aranae spp.,85,8,1
Diptera spp. juv.,85,8,1
Temnothorax nylanderi,85,8,1
Chilopoda spp.,85,8,1
Nematoda spp.,85,8,2
Oligochaeta spp.,85,9,19
Aranae spp.,85,9,2
Diptera spp. juv.,85,9,1
Parasitica spp.,85,9,1
Chilopoda spp.,85,9,9
Oligochaeta spp.,85,10,32
Oniscidea spp.,85,10,1
Diptera spp. juv.,85,10,4
Heteroptera spp.,85,10,1
Chilopoda spp.,85,10,1
Diplopoda spp.,85,10,1
Nematoda spp.,85,10,3
Oligochaeta spp.,86,1,47
Aranae spp.,86,1,1
Diptera spp. juv.,86,1,69
Diptera spp. juv.,86,2,1
Oligochaeta spp.,86,3,1
Diptera spp. juv.,86,3,10
Aphiodoidea spp. juv. and adult,86,3,17
Chilopoda spp.,86,3,4
Oligochaeta spp.,86,4,65
Diptera spp. juv.,86,4,1
Symphyta spp. juv.,86,4,3
Thysanoptera spp.,86,4,12
Thysanoptera spp. juv.,86,4,197
Chilopoda spp.,86,4,1
Oligochaeta spp.,86,5,7
Aranae spp.,86,5,1
Diptera spp. juv.,86,5,18
Diptera spp. juv.,86,6,11
Oligochaeta spp.,86,7,37
Diptera spp. juv.,86,7,17
Parasitica spp.,86,7,1
Nematoda spp.,86,7,1
Oligochaeta spp.,86,8,57
Diptera spp. juv.,86,8,41
Parasitica spp.,86,8,1
Lepidoptera spp.,86,8,1
Oligochaeta spp.,86,9,3
Diptera spp. juv.,86,9,45
Chilopoda spp.,86,9,1
Oligochaeta spp.,86,10,15
Aranae spp.,86,10,1
Diptera spp. juv.,86,10,7
Parasitica spp.,86,10,1
Oligochaeta spp.,87,1,1
Aranae spp.,87,1,1
Diptera spp. juv.,87,1,7
Diptera spp.,87,1,1
Diptera spp. juv.,87,2,4
Oligochaeta spp.,87,3,11
Diptera spp. juv.,87,3,18
Diptera spp.,87,3,3
Oligochaeta spp.,87,4,9
Oligochaeta spp.,87,5,87
Diptera spp. juv.,87,5,31
Diptera spp.,87,5,2
Nematoda spp.,87,5,1
Oligochaeta spp.,87,6,9
Aranae spp.,87,6,3
Diptera spp. juv.,87,6,2
Oligochaeta spp.,87,7,9
Diptera spp. juv.,87,7,1
Oligochaeta spp.,87,8,63
Opiliones spp.,87,8,2
Diptera spp. juv.,87,8,10
Aphiodoidea spp. juv. and adult,87,8,3
Thysanoptera spp.,87,8,1
Thysanoptera spp. juv.,87,8,3
Chilopoda spp.,87,8,1
Diplopoda spp.,87,8,3
Nematoda spp.,87,8,2
Aranae spp.,87,9,2
Diptera spp. juv.,87,9,1
Oligochaeta spp.,87,10,10
Diptera spp. juv.,87,10,5
Diplopoda spp.,87,10,1
